image,pillars_and_stances,pillar,stance_list,stance
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4181.jpg,"['Digital Defence', ['Against', 'Neutral', 'Against']]",Digital Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4183.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4185.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4187.jpg,"['Psychological Defence', ['Against', 'Neutral', 'Against']]",Psychological Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4189.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4190.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4191.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4194.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4197.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4198.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4200.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4202.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4203.jpg,"['Psychological Defence', ['Against', 'Against', 'Supportive']]",Psychological Defence,"['Against', 'Against', 'Supportive']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4207.jpg,"['Psychological Defence', ['Against', 'Neutral', 'Against']]",Psychological Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4209.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4215.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4217.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4220.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4221.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4223.jpg,"['Military Defence', ['Against', 'Against', 'Neutral']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4228.jpg,"['Civil Defence', ['Against', 'Supportive', 'Supportive']]",Civil Defence,"['Against', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4230.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4232.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4233.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4234.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4236.jpg,"['Economic Defence', ['Supportive', 'Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4238.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4240.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4242.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4243.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Against']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4245.jpg,"['Civil Defence', ['Supportive', 'Neutral', 'Neutral']]",Civil Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4248.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4249.jpg,"['Digital Defence', ['Against', 'Neutral', 'Neutral']]",Digital Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4251.jpg,"['Economic Defence', ['Against', 'Neutral', 'Against']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4252.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4254.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4256.jpg,"['Economic Defence', ['Against', 'Against', 'Neutral']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4260.jpg,"['Military Defence', ['Neutral', 'Supportive', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4261.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4263.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4267.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4268.jpg,"['Psychological Defence', ['Against', 'Supportive', 'Supportive']]",Psychological Defence,"['Against', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4269.jpg,"['Economic Defence', ['Supportive', 'Neutral', 'Neutral']]",Economic Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4274.jpg,"['Digital Defence', ['Against', 'Neutral', 'Against']]",Digital Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4275.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4277.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4279.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4280.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4281.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4282.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4283.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4286.jpg,"['Civil Defence', ['Against', 'Neutral', 'Neutral']]",Civil Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4288.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4295.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4298.jpg,"['Military Defence', ['Against', 'Against', 'Neutral']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4303.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4306.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4309.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4311.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4316.jpg,"['Economic Defence', ['Against', 'Neutral', 'Neutral']]",Economic Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4318.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4319.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4323.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4326.jpg,"['Psychological Defence', ['Against', 'Against', 'Neutral']]",Psychological Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4331.jpg,"['Psychological Defence', ['Against', 'Neutral', 'Neutral']]",Psychological Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4334.jpg,"['Military Defence', ['Supportive', 'Supportive', 'Neutral']]",Military Defence,"['Neutral', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4338.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4340.jpg,"['Civil Defence', ['Neutral', 'Supportive', 'Supportive']]",Civil Defence,"['Neutral', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4341.jpg,"['Economic Defence', ['Neutral', 'Neutral', 'Against']]",Economic Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4344.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4349.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4350.jpg,"['Military Defence', ['Supportive', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Supportive']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4351.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4353.jpg,"['Military Defence', ['Neutral', 'Neutral', 'Supportive']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4355.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4387.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4388.jpg,"['Military Defence', ['Against', 'Neutral', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4389.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4400.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4404.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Supportive']]",Military Defence,"['Neutral', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4419.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4424.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4428.jpg,"['Economic Defence', ['Against', 'Neutral', 'Against']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4432.jpg,"['Civil Defence', ['Neutral', 'Against', 'Against']]",Civil Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4434.jpg,"['Military Defence', ['Neutral', 'Supportive', 'Supportive']]",Military Defence,"['Neutral', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4440.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4454.jpg,"['Economic Defence', ['Neutral', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4457.jpg,"['Military Defence', ['Against', 'Supportive', 'Against']]",Military Defence,"['Against', 'Against', 'Supportive']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4458.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4465.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4466.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4470.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4471.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4477.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4488.jpg,"['Military Defence', ['Supportive', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Supportive']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4489.jpg,"['Military Defence', ['Against', 'Neutral', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4495.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4498.jpg,"['Military Defence', ['Supportive', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Supportive']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4503.jpg,"['Digital Defence', ['Supportive', 'Neutral', 'Supportive']]",Digital Defence,"['Neutral', 'Supportive', 'Supportive']",Supportive
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4507.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4527.jpg,"['Economic Defence', ['Neutral', 'Against', 'Against']]",Economic Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4528.jpg,"['Psychological Defence', ['Neutral', 'Neutral', 'Supportive']]",Psychological Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4532.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4533.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4538.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4545.jpg,"['Military Defence', ['Neutral', 'Against', 'Neutral']]",Military Defence,"['Against', 'Neutral', 'Neutral']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4549.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4552.jpg,"['Military Defence', ['Neutral', 'Against', 'Against']]",Military Defence,"['Against', 'Against', 'Neutral']",Against
/content/drive/MyDrive/stance_detection_datasets_GPT/total_defense_memes/TD_Memes/img_4562.jpg,"['Military Defence', ['Supportive', 'Neutral', 'Neutral']]",Military Defence,"['Neutral', 'Neutral', 'Supportive']",Neutral
